   171/299     11.5G   0.01618  0.009179  0.001257   0.02661        41       640    0.9555    0.8605     0.912    0.6127    0.0276   0.01583  0.006792
   172/299     11.5G   0.01614  0.008912  0.001172   0.02622        57       640     0.961    0.8754    0.9193    0.6157   0.02738   0.01563  0.005093
   173/299     11.5G   0.01611  0.009167  0.001294   0.02657        52       640    0.9454    0.8793    0.9144    0.6081   0.02762   0.01547  0.005838
   174/299     11.5G    0.0158  0.008886   0.00112   0.02581        48       640    0.9457    0.8684    0.9178    0.6121   0.02749    0.0158  0.005933
   175/299     11.5G   0.01549   0.00917   0.00113   0.02579        44       640     0.954    0.8541    0.9133    0.6146   0.02737   0.01577  0.006642
   176/299     11.5G   0.01524  0.008676 0.0009312   0.02485        37       640    0.9645    0.8574    0.9112     0.614   0.02774   0.01617  0.006262
   177/299     11.5G   0.01589    0.0089  0.001201   0.02599        39       640    0.9704    0.8624    0.9187    0.6151   0.02724   0.01594  0.005873
   178/299     11.5G   0.01591  0.009061  0.001049   0.02602        68       640    0.9657    0.8634    0.9162     0.613   0.02746   0.01599  0.005984
   179/299     11.5G   0.01574   0.00904  0.001129   0.02591        49       640    0.9516    0.8829    0.9191    0.6163   0.02734   0.01573  0.005966
   180/299     11.5G   0.01583  0.009305  0.001163    0.0263        61       640    0.9634    0.8645    0.9191     0.617   0.02711    0.0155  0.006307
   181/299     11.5G   0.01518  0.008721 0.0009985    0.0249        52       640    0.9525    0.8777    0.9194    0.6205   0.02712    0.0155     0.006
   182/299     11.5G   0.01525   0.00869  0.001066   0.02501        60       640    0.9476    0.8918    0.9194    0.6226   0.02707   0.01561  0.006521
   183/299     11.5G   0.01534  0.008667 0.0009698   0.02498        38       640    0.9463    0.8838    0.9222    0.6179   0.02705   0.01579  0.006017
   184/299     11.5G    0.0149  0.008641  0.001108   0.02465        48       640    0.9337    0.8888    0.9184    0.6166   0.02712    0.0158  0.005557
   185/299     11.5G    0.0152  0.008859  0.001026   0.02508        41       640    0.9447    0.8856     0.919     0.615   0.02714   0.01597  0.005528
   186/299     11.5G   0.01503  0.008635 0.0007855   0.02445        44       640    0.9404    0.8832    0.9141    0.6126   0.02718   0.01599  0.006259
   187/299     11.5G   0.01526  0.008825  0.001106   0.02519        53       640    0.9372    0.9011    0.9212     0.621   0.02697   0.01562  0.005587
   188/299     11.5G   0.01482   0.00882  0.001154   0.02479        54       640    0.9528    0.8869    0.9201    0.6179   0.02715   0.01552  0.005717
   189/299     11.5G   0.01516  0.008858 0.0009513   0.02497        47       640    0.9507    0.8867     0.924    0.6219   0.02687   0.01547  0.005707
   190/299     11.5G   0.01463  0.008764  0.001021   0.02442        58       640    0.9495    0.8799    0.9165     0.616   0.02712   0.01555  0.006347
